procedure_id,code_id,brand,market,appliance_type,code,rank,rank_basis,title,steps,diy_difficulty,est_labor_minutes,parts_cost_min,parts_cost_max,cost_currency,cost_year,source_type,source_url
256,354,Beko,UK,washer,E01,1,cost_ascending,Check the door and reset,"Close the door until it latches fully, clear anything caught in it, and power off for about five minutes before retrying.",easy,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
257,354,Beko,UK,washer,E01,2,cost_ascending,Replace the door lock,"If the error persists, have the interlock switch tested for continuity and the door lock assembly replaced with the model-specific OEM part.",professional_only,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
258,356,Beko,UK,washer,E03,1,cost_ascending,Clear the pump filter and hose,"Unplug the machine, open the bottom access panel with a tray ready, unscrew the pump filter, remove coins and lint, and straighten the drain hose.",moderate,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
259,356,Beko,UK,washer,E03,2,cost_ascending,Service the drain pump,"If draining still fails, have the pump motor resistance measured and the pump replaced if the impeller is jammed or the circuit is open.",professional_only,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
152,171,Bosch,US,dishwasher,E15,1,cost_ascending,Drain the base pan and reset,"Cut power and water, tilt the unit back to empty the base tray, mop up remaining water, then restore power and run a short rinse to confirm the float switch reset. Also verify dishwasher-only detergent at the recommended dose.",moderate,,,,USD,,aggregator_listing,https://www.appliancecodehub.com/bosch/dishwasher/
153,171,Bosch,US,dishwasher,E15,2,cost_ascending,Have the leak traced professionally,"If the code returns after draining, have a technician inspect internal hoses, the door seal, and the sump for leaks and replace the failed component.",professional_only,,,,USD,,aggregator_listing,https://www.appliancecodehub.com/bosch/dishwasher/
154,176,Bosch,US,dishwasher,E24,1,cost_ascending,Clean the drain filter,"Open the door, remove the bottom rack, twist out the filter assembly, rinse away debris, reinstall, and run a test drain.",easy,,,,USD,,aggregator_listing,https://www.appliancecodehub.com/bosch/dishwasher/
155,176,Bosch,US,dishwasher,E24,2,cost_ascending,Clear the drain hose,"Cut power, pull the unit out, remove kinks and blockages from the drain hose (flushing it if needed), and reattach with a proper high loop.",moderate,,,,USD,,aggregator_listing,https://www.appliancecodehub.com/bosch/dishwasher/
156,176,Bosch,US,dishwasher,E24,3,cost_ascending,Service the drain pump,"Disconnect power and water, open the access panels, clear the pump impeller and housing, and replace the pump if it fails to run.",professional_only,,47.57,117.0,USD,2026.0,aggregator_listing,https://www.appliancecodehub.com/bosch/dishwasher/
271,394,Candy,UK,washer,E01,1,cost_ascending,Clear the door and reset,"Free any laundry caught in the gasket, close the door until the latch engages, then unplug for a few minutes and retry.",easy,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
272,394,Candy,UK,washer,E01,2,cost_ascending,Replace the door lock,"If the error persists with the door properly closed, have the lock mechanism and its wiring checked for damage and the assembly replaced.",professional_only,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
273,395,Candy,UK,washer,E02,1,cost_ascending,Restore the water supply,"Open the tap fully, straighten the inlet hose, and clean the inlet filters at the hose and valve.",easy,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
274,395,Candy,UK,washer,E02,2,cost_ascending,Service the inlet valve and sensor,"If filling still fails, have the inlet valve and pressure switch tested and replaced if defective, and the wiring inspected.",professional_only,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
275,396,Candy,UK,washer,E03,1,cost_ascending,Clear the drain path,"Unplug the machine, clean the drain pump filter behind the lower front panel, straighten the drain hose, and confirm the external drain is clear before retesting.",moderate,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
276,396,Candy,UK,washer,E03,2,cost_ascending,Service the drain pump,"If draining still fails, have the pump and impeller inspected, the pump tested electrically, the pressure-switch tubing checked, and defective parts replaced.",professional_only,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
277,401,Candy,UK,washer,E08,1,cost_ascending,Reset and lighten the load,"Disconnect power for five to fifteen minutes, reduce the load, and try a short spin cycle with the door fully latched.",easy,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
278,401,Candy,UK,washer,E08,2,cost_ascending,Service the motor and tachometer,"If the speed fault returns, have the tachometer output measured, worn carbon brushes replaced, and the motor windings and drive triac checked.",professional_only,,,,USD,,aggregator_listing,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
