part_id,procedure_id,brand,appliance_type,code,oem_part_number,name,street_price_min,street_price_max,price_currency,cost_year,price_source_url,price_observations
14,156,Bosch,dishwasher,E24,00642239,Dishwasher Drain Pump,47.57,117.0,USD,2026,https://www.bosch-home.com/us/en/product/00642239,mccombssupply.com=47.57@2026-07-16 (MSRP 95.53); partselect.com/PS8729769=117.00@2026-07-16; listed at bosch-home.com (OEM store)
15,160,Frigidaire,washer,E21,137221600,Washer Drain Pump,158.22,158.22,USD,2026,https://www.frigidaireapplianceparts.com/PartDetail/Drain-Pump/137221600/2754548,frigidaireapplianceparts.com=158.22@2026-07-16 (single observation: both bounds equal per integrity rule 6)
2,4,LG,washer,OE,4681EA2001T,Washing Machine Drain Pump & Motor Assembly,48.6,53.95,USD,2026,https://lgparts.com/products/4681ea2001t-washing-machine-drain-pump-and-motor,applianceparts.lowes.com/lowes-appliance-part/l-g/4681ea2001t=48.60@2026-07-16; filtersfast.com=53.95@2026-07-16; listed at lgparts.com (OEM store)
1,2,LG,washer,IE,5220FR2075L,Washer Cold Water Inlet Valve,28.99,139.65,USD,2026,https://lgparts.com/products/5220fr2075l-washer-cold-water-inlet-valve,shopjimmy.com=28.99@2026-07-16; walmart.com/ip/995702207=55.73@2026-07-16; appliancerepair.homedepot.com/PartDetail/Water-Inlet-Valve/5220FR2075L/4322702=67.95@2026-07-16; partselect.com/PS11728995=139.65@2026-07-16
4,28,LG,dryer,TE1,6323EL2001B,Dryer Thermistor Assembly,22.95,53.2,USD,2026,https://lgparts.com/products/6323el2001b-dryer-thermistor,filtersfast.com=22.95@2026-07-16; parts.alliancelaundry.com/i-13164478=25.24@2026-07-16; partselect.com/PS3529026=53.20@2026-07-16
16,247,Hotpoint,washer,F05,C00119307,Washing Machine Drain Pump,19.49,32.49,GBP,2026,https://www.partscentre.co.uk/washing-machine-pump-apmp266.html,"partscentre.co.uk=GBP 32.49@2026-07-16; bartyspares.uk/products/washing-machine-drain-pump-for-hotpoint-indesit-c00119307=GBP 19.49@2026-07-16; parts.indesit.co.uk lists successor J00337917 (obsolete listing, no price)"
16,252,Hotpoint,washer,F05,C00119307,Washing Machine Drain Pump,19.49,32.49,GBP,2026,https://www.partscentre.co.uk/washing-machine-pump-apmp266.html,"partscentre.co.uk=GBP 32.49@2026-07-16; bartyspares.uk/products/washing-machine-drain-pump-for-hotpoint-indesit-c00119307=GBP 19.49@2026-07-16; parts.indesit.co.uk lists successor J00337917 (obsolete listing, no price)"
17,250,Hotpoint,washer,F16,C00299278,Washing Machine Door Interlock,14.49,28.1,GBP,2026,https://www.partscentre.co.uk/door-interlock-int103.html,"partscentre.co.uk=GBP 14.49@2026-07-16 (special, list 17.49); appliancespareswarehouse.co.uk=GBP 28.10@2026-07-16 (retailers list Hotpoint Aqualtis + Indesit compatibility)"
17,255,Hotpoint,washer,F16,C00299278,Washing Machine Door Interlock,14.49,28.1,GBP,2026,https://www.partscentre.co.uk/door-interlock-int103.html,"partscentre.co.uk=GBP 14.49@2026-07-16 (special, list 17.49); appliancespareswarehouse.co.uk=GBP 28.10@2026-07-16 (retailers list Hotpoint Aqualtis + Indesit compatibility)"
9,77,Samsung,dryer,HC,DC47-00019A,Dryer Heating Element,24.52,84.42,USD,2026,https://samsungparts.com/products/dc47-00019a-dryer-heating-element,walmart.com/ip/119931762=24.52@2026-07-16; shopjimmy.com=34.77@2026-07-16; partsking.com=59.52@2026-07-16 (list 78.44); filtersfast.com=84.42@2026-07-16
8,67,Samsung,washer,DC,DC64-00519B,Washer Door Lock Switch Assembly,26.92,49.01,USD,2026,https://applianceparts.lowes.com/lowes-appliance-part/sam/dc64-00519b,applianceparts.lowes.com=26.92@2026-07-16; filtersfast.com=35.88@2026-07-16; heima.com=43.99@2026-07-16; appliancerepair.homedepot.com/PartDetail/Door-Lock/DC6400519B/2071402=49.01@2026-07-16
7,62,Samsung,washer,5C,DC96-01700A,Washer Drain Pump,38.0,189.95,USD,2026,https://samsungparts.com/products/dc96-01700a,"samsungparts.com=189.95@2026-07-16 (listed OEM price, marked superseded); highway61parts.com/products/dc96-01700a-samsung-drain-pump=38.00@2026-07-16"
10,104,Samsung,dishwasher,5C,DD81-02635A,Dishwasher Drain Pump Assembly,217.95,217.95,USD,2026,https://samsungparts.com/products/dd81-02635a,samsungparts.com=217.95@2026-07-16 (single observation: both bounds equal per integrity rule 6)
5,42,LG,refrigerator,FF,EAU61524007,Refrigerator Evaporator Fan Motor,86.63,86.63,USD,2026,https://lgparts.com/products/eau61524007-refrigerator-evaporator-fan-motor,filtersfast.com=86.63@2026-07-16 (single observation: both bounds equal per integrity rule 6)
6,52,LG,dishwasher,OE,EAU62043403,Dishwasher Drain Pump Motor Assembly,40.72,103.95,USD,2026,https://lgparts.com/products/eau62043403,lgparts.com=USD 103.95@2026-07-16 (OEM); walmart.com/ip/916277720=USD 40.72@2026-07-16 (ERP exact-replacement version of the same part number)
3,8,LG,washer,DE,EBF49827801,Washer Door Lock and Switch Assembly,63.11,78.18,USD,2026,https://lgparts.com/products/ebf49827801-washer-door-lock-and-switch,filtersfast.com=63.11@2026-07-16; repairclinic.com/PartDetail/Door-Lock/EBF49827801/1463541=78.18@2026-07-16
11,111,GE,dishwasher,C3,WD26X10049,Dishwasher Drain Pump with Screws,86.69,86.69,USD,2026,https://www.geappliances.com/appliance/Dishwasher-Drain-Pump-with-Screws-WD26X10049,geappliances.com=86.69@2026-07-16 (single observation: both bounds equal per integrity rule 6)
12,119,Whirlpool,washer,F5E2,WPW10443885,Washer Door Latch Assembly,38.87,104.36,USD,2026,https://www.whirlpoolparts.com/PartDetail/Door-Latch/WPW10443885/3020352,"walmart.com/ip/893240110=38.87@2026-07-16; partselect.com/PS11754810=74.73@2026-07-16; filtersfast.com=75.69@2026-07-16; whirlpoolparts.com=84.26@2026-07-16; appliancerepair.homedepot.com=104.36@2026-07-16 (retailers list compatibility with Whirlpool, Maytag, Amana, Crosley)"
12,139,Whirlpool,washer,F5E2,WPW10443885,Washer Door Latch Assembly,38.87,104.36,USD,2026,https://www.whirlpoolparts.com/PartDetail/Door-Latch/WPW10443885/3020352,"walmart.com/ip/893240110=38.87@2026-07-16; partselect.com/PS11754810=74.73@2026-07-16; filtersfast.com=75.69@2026-07-16; whirlpoolparts.com=84.26@2026-07-16; appliancerepair.homedepot.com=104.36@2026-07-16 (retailers list compatibility with Whirlpool, Maytag, Amana, Crosley)"
13,124,Whirlpool,washer,F9E1,WPW10730972,Washer Drain Pump,80.83,122.93,USD,2026,https://www.whirlpoolparts.com/PartDetail/Drain-Pump/WPW10730972/4281917,whirlpoolparts.com=122.93@2026-07-16; walmart.com/ip/150716822=80.83@2026-07-16; appliancerepair.homedepot.com=107.95@2026-07-16; filtersfast.com=102.48@2026-07-16
