brand,market,appliance_type,code,meaning,component,cause_category,severity,rank,rank_basis,title,steps,diy_difficulty,source_url
Beko,UK,washer,E01,The machine is not detecting the door as closed and locked.,door interlock,door_lock,stop_failure,1.0,cost_ascending,Check the door and reset,"Close the door until it latches fully, clear anything caught in it, and power off for about five minutes before retrying.",easy,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
Beko,UK,washer,E01,The machine is not detecting the door as closed and locked.,door interlock,door_lock,stop_failure,2.0,cost_ascending,Replace the door lock,"If the error persists, have the interlock switch tested for continuity and the door lock assembly replaced with the model-specific OEM part.",professional_only,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
Beko,UK,washer,E02,The water is not reaching its target temperature.,heating element,heating,degraded,,,,,,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
Beko,UK,washer,E03,The machine cannot drain within the expected time.,drain pump,drainage,stop_failure,1.0,cost_ascending,Clear the pump filter and hose,"Unplug the machine, open the bottom access panel with a tray ready, unscrew the pump filter, remove coins and lint, and straighten the drain hose.",moderate,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
Beko,UK,washer,E03,The machine cannot drain within the expected time.,drain pump,drainage,stop_failure,2.0,cost_ascending,Service the drain pump,"If draining still fails, have the pump motor resistance measured and the pump replaced if the impeller is jammed or the circuit is open.",professional_only,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
Beko,UK,washer,E04,The machine is not filling within the expected time.,water inlet valve,water_supply,stop_failure,,,,,,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
Beko,UK,washer,E05,The water-level pressure switch is reading incorrectly.,pressure switch,sensor,degraded,,,,,,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
Beko,UK,washer,E06,The NTC temperature sensor is not reading correctly.,NTC thermistor,sensor,degraded,,,,,,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
Beko,UK,washer,E07,A motor or motor-triac circuit fault was detected.,drive motor,motor,stop_failure,,,,,,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
Beko,UK,washer,E08,A motor or tachometer fault was detected.,tachogenerator,motor,degraded,,,,,,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
Beko,UK,washer,E09,A door interlock fault was detected (variant code).,door interlock,door_lock,degraded,,,,,,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
Beko,UK,washer,E10,A door lock or control fault was detected.,door interlock,door_lock,degraded,,,,,,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
Beko,UK,washer,E11,A motor fault or unbalanced load was detected during spin.,drive motor,unbalanced,degraded,,,,,,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
Beko,UK,washer,E13,A water leak was detected by the leak-protection system.,internal hoses and seals,leak,stop_failure,,,,,,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
Beko,UK,washer,E17,A motor or inverter-board fault on induction motor models.,inverter board,motor,degraded,,,,,,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
Bosch,US,dishwasher,E01,A fault in the heating or pump-control circuit was detected.,heat pump circuit,heating,stop_failure,,,,,,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E02,A water-heating relay fault was detected.,control board,heating,degraded,,,,,,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E03,The auxiliary heater relay is faulty.,control board,heating,degraded,,,,,,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E04,A fault was detected in the water inlet system.,water inlet valve,water_supply,degraded,,,,,,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E05,A malfunction was detected in the circulation system.,circulation pump,motor,degraded,,,,,,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E09,The heating element or heat pump is faulty.,heating element,heating,stop_failure,,,,,,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E12,A water leak was detected.,water inlet system,leak,degraded,,,,,,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E14,A fault was detected in the door latch mechanism.,door latch assembly,door_lock,stop_failure,,,,,,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E15,Leak protection triggered after water was detected in the base pan.,leak sensor,leak,stop_failure,1.0,cost_ascending,Drain the base pan and reset,"Cut power and water, tilt the unit back to empty the base tray, mop up remaining water, then restore power and run a short rinse to confirm the float switch reset. Also verify dishwasher-only detergent at the recommended dose.",moderate,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E15,Leak protection triggered after water was detected in the base pan.,leak sensor,leak,stop_failure,2.0,cost_ascending,Have the leak traced professionally,"If the code returns after draining, have a technician inspect internal hoses, the door seal, and the sump for leaks and replace the failed component.",professional_only,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E17,A water inlet valve fault was detected.,water inlet valve,water_supply,degraded,,,,,,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E18,A drainage system fault was detected.,drain pump,drainage,stop_failure,,,,,,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E22,The filter or circulation pump is restricted or faulty.,circulation pump,motor,degraded,,,,,,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E23,A heating element fault was detected.,heating element,heating,degraded,,,,,,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E24,The drain pump is blocked or faulty.,drain pump,drainage,stop_failure,1.0,cost_ascending,Clean the drain filter,"Open the door, remove the bottom rack, twist out the filter assembly, rinse away debris, reinstall, and run a test drain.",easy,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E24,The drain pump is blocked or faulty.,drain pump,drainage,stop_failure,2.0,cost_ascending,Clear the drain hose,"Cut power, pull the unit out, remove kinks and blockages from the drain hose (flushing it if needed), and reattach with a proper high loop.",moderate,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E24,The drain pump is blocked or faulty.,drain pump,drainage,stop_failure,3.0,cost_ascending,Service the drain pump,"Disconnect power and water, open the access panels, clear the pump impeller and housing, and replace the pump if it fails to run.",professional_only,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E25,A blockage was detected in the drain system.,drain system,drainage,stop_failure,,,,,,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E26,A main control board fault was detected.,control board,control_board,stop_failure,,,,,,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,E27,A sensor or valve fault was detected.,sensor,sensor,degraded,,,,,,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,dishwasher,H01,A door latch error was detected.,door latch mechanism,door_lock,degraded,,,,,,https://www.appliancecodehub.com/bosch/dishwasher/
Bosch,US,washer,E01,A door lock fault is preventing the washer from starting.,door lock,door_lock,stop_failure,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,E02,A drainage or motor fault is preventing drum rotation.,drive motor,motor,stop_failure,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,E03,"The door lock feedback signal failed, so secure closure cannot be confirmed.",door lock sensor,door_lock,degraded,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,E05,A drainage system fault is indicated.,drain system,drainage,,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,E11,A water inlet fault is indicated.,water inlet valve,water_supply,,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,E13,A drainage fault is indicated.,drain system,drainage,,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,E14,A water inlet fault is indicated.,water inlet valve,water_supply,,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,E16,A water inlet fault is indicated.,water inlet valve,water_supply,,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,E17,A water inlet fault is indicated.,water inlet valve,water_supply,,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,E19,A heating fault is indicated.,heating element,heating,,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,E20,A drainage fault is indicated.,drain system,drainage,,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,E21,A drainage fault is indicated.,drain system,drainage,,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,E22,A drainage fault is indicated.,drain system,drainage,,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,E24,A drainage fault is indicated.,drain system,drainage,,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,E88,A control communication fault is indicated.,control board,communication,,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,F16,A door fault is indicated.,door lock,door_lock,,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,F18,A drainage fault is indicated.,drain system,drainage,,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,F21,A motor fault is indicated.,drive motor,motor,,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,F42,A motor fault is indicated.,drive motor,motor,,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Bosch,US,washer,F43,A motor fault is indicated.,drive motor,motor,,,,,,,https://www.appliancecodehub.com/bosch/washing-machine/
Candy,UK,washer,E01,The machine is not detecting the door as closed and locked.,door interlock,door_lock,stop_failure,1.0,cost_ascending,Clear the door and reset,"Free any laundry caught in the gasket, close the door until the latch engages, then unplug for a few minutes and retry.",easy,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E01,The machine is not detecting the door as closed and locked.,door interlock,door_lock,stop_failure,2.0,cost_ascending,Replace the door lock,"If the error persists with the door properly closed, have the lock mechanism and its wiring checked for damage and the assembly replaced.",professional_only,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E02,The machine is not filling within the expected time.,water inlet valve,water_supply,stop_failure,1.0,cost_ascending,Restore the water supply,"Open the tap fully, straighten the inlet hose, and clean the inlet filters at the hose and valve.",easy,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E02,The machine is not filling within the expected time.,water inlet valve,water_supply,stop_failure,2.0,cost_ascending,Service the inlet valve and sensor,"If filling still fails, have the inlet valve and pressure switch tested and replaced if defective, and the wiring inspected.",professional_only,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E03,The machine cannot drain within the expected time.,drain pump,drainage,stop_failure,1.0,cost_ascending,Clear the drain path,"Unplug the machine, clean the drain pump filter behind the lower front panel, straighten the drain hose, and confirm the external drain is clear before retesting.",moderate,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E03,The machine cannot drain within the expected time.,drain pump,drainage,stop_failure,2.0,cost_ascending,Service the drain pump,"If draining still fails, have the pump and impeller inspected, the pump tested electrically, the pressure-switch tubing checked, and defective parts replaced.",professional_only,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E04,Too much water was detected in the drum.,pressure switch,water_supply,degraded,,,,,,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E05,The NTC temperature sensor is faulty.,NTC thermistor,sensor,degraded,,,,,,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E06,An EEPROM or control-board memory fault was detected.,control board,control_board,stop_failure,,,,,,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
Candy,UK,washer,E07,"A door lock or motor fault was detected, varying by model.",door interlock,door_lock,degraded,,,,,,https://www.whitegoodshelp.co.uk/candy-washing-machine-error-codes/
