code_id,brand,market,appliance_type,code,meaning,component,cause_category,severity,source_type,source_name,source_url
354,Beko,UK,washer,E01,The machine is not detecting the door as closed and locked.,door interlock,door_lock,stop_failure,aggregator_listing,Whitegoods Help — Beko Washing Machine Error Codes,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
355,Beko,UK,washer,E02,The water is not reaching its target temperature.,heating element,heating,degraded,aggregator_listing,Whitegoods Help — Beko Washing Machine Error Codes,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
356,Beko,UK,washer,E03,The machine cannot drain within the expected time.,drain pump,drainage,stop_failure,aggregator_listing,Whitegoods Help — Beko Washing Machine Error Codes,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
357,Beko,UK,washer,E04,The machine is not filling within the expected time.,water inlet valve,water_supply,stop_failure,aggregator_listing,Whitegoods Help — Beko Washing Machine Error Codes,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
358,Beko,UK,washer,E05,The water-level pressure switch is reading incorrectly.,pressure switch,sensor,degraded,aggregator_listing,Whitegoods Help — Beko Washing Machine Error Codes,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
359,Beko,UK,washer,E06,The NTC temperature sensor is not reading correctly.,NTC thermistor,sensor,degraded,aggregator_listing,Whitegoods Help — Beko Washing Machine Error Codes,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
360,Beko,UK,washer,E07,A motor or motor-triac circuit fault was detected.,drive motor,motor,stop_failure,aggregator_listing,Whitegoods Help — Beko Washing Machine Error Codes,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
361,Beko,UK,washer,E08,A motor or tachometer fault was detected.,tachogenerator,motor,degraded,aggregator_listing,Whitegoods Help — Beko Washing Machine Error Codes,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
362,Beko,UK,washer,E09,A door interlock fault was detected (variant code).,door interlock,door_lock,degraded,aggregator_listing,Whitegoods Help — Beko Washing Machine Error Codes,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
363,Beko,UK,washer,E10,A door lock or control fault was detected.,door interlock,door_lock,degraded,aggregator_listing,Whitegoods Help — Beko Washing Machine Error Codes,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
364,Beko,UK,washer,E11,A motor fault or unbalanced load was detected during spin.,drive motor,unbalanced,degraded,aggregator_listing,Whitegoods Help — Beko Washing Machine Error Codes,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
365,Beko,UK,washer,E13,A water leak was detected by the leak-protection system.,internal hoses and seals,leak,stop_failure,aggregator_listing,Whitegoods Help — Beko Washing Machine Error Codes,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
366,Beko,UK,washer,E17,A motor or inverter-board fault on induction motor models.,inverter board,motor,degraded,aggregator_listing,Whitegoods Help — Beko Washing Machine Error Codes,https://www.whitegoodshelp.co.uk/beko-washing-machine-error-codes/
163,Bosch,US,dishwasher,E01,A fault in the heating or pump-control circuit was detected.,heat pump circuit,heating,stop_failure,aggregator_listing,ApplianceCodeHub — Bosch Dishwasher Error Codes,https://www.appliancecodehub.com/bosch/dishwasher/
164,Bosch,US,dishwasher,E02,A water-heating relay fault was detected.,control board,heating,degraded,aggregator_listing,ApplianceCodeHub — Bosch Dishwasher Error Codes,https://www.appliancecodehub.com/bosch/dishwasher/
165,Bosch,US,dishwasher,E03,The auxiliary heater relay is faulty.,control board,heating,degraded,aggregator_listing,ApplianceCodeHub — Bosch Dishwasher Error Codes,https://www.appliancecodehub.com/bosch/dishwasher/
166,Bosch,US,dishwasher,E04,A fault was detected in the water inlet system.,water inlet valve,water_supply,degraded,aggregator_listing,ApplianceCodeHub — Bosch Dishwasher Error Codes,https://www.appliancecodehub.com/bosch/dishwasher/
167,Bosch,US,dishwasher,E05,A malfunction was detected in the circulation system.,circulation pump,motor,degraded,aggregator_listing,ApplianceCodeHub — Bosch Dishwasher Error Codes,https://www.appliancecodehub.com/bosch/dishwasher/
168,Bosch,US,dishwasher,E09,The heating element or heat pump is faulty.,heating element,heating,stop_failure,aggregator_listing,ApplianceCodeHub — Bosch Dishwasher Error Codes,https://www.appliancecodehub.com/bosch/dishwasher/
169,Bosch,US,dishwasher,E12,A water leak was detected.,water inlet system,leak,degraded,aggregator_listing,ApplianceCodeHub — Bosch Dishwasher Error Codes,https://www.appliancecodehub.com/bosch/dishwasher/
170,Bosch,US,dishwasher,E14,A fault was detected in the door latch mechanism.,door latch assembly,door_lock,stop_failure,aggregator_listing,ApplianceCodeHub — Bosch Dishwasher Error Codes,https://www.appliancecodehub.com/bosch/dishwasher/
171,Bosch,US,dishwasher,E15,Leak protection triggered after water was detected in the base pan.,leak sensor,leak,stop_failure,aggregator_listing,ApplianceCodeHub — Bosch Dishwasher Error Codes,https://www.appliancecodehub.com/bosch/dishwasher/
172,Bosch,US,dishwasher,E17,A water inlet valve fault was detected.,water inlet valve,water_supply,degraded,aggregator_listing,ApplianceCodeHub — Bosch Dishwasher Error Codes,https://www.appliancecodehub.com/bosch/dishwasher/
173,Bosch,US,dishwasher,E18,A drainage system fault was detected.,drain pump,drainage,stop_failure,aggregator_listing,ApplianceCodeHub — Bosch Dishwasher Error Codes,https://www.appliancecodehub.com/bosch/dishwasher/
174,Bosch,US,dishwasher,E22,The filter or circulation pump is restricted or faulty.,circulation pump,motor,degraded,aggregator_listing,ApplianceCodeHub — Bosch Dishwasher Error Codes,https://www.appliancecodehub.com/bosch/dishwasher/
175,Bosch,US,dishwasher,E23,A heating element fault was detected.,heating element,heating,degraded,aggregator_listing,ApplianceCodeHub — Bosch Dishwasher Error Codes,https://www.appliancecodehub.com/bosch/dishwasher/
176,Bosch,US,dishwasher,E24,The drain pump is blocked or faulty.,drain pump,drainage,stop_failure,aggregator_listing,ApplianceCodeHub — Bosch Dishwasher Error Codes,https://www.appliancecodehub.com/bosch/dishwasher/
177,Bosch,US,dishwasher,E25,A blockage was detected in the drain system.,drain system,drainage,stop_failure,aggregator_listing,ApplianceCodeHub — Bosch Dishwasher Error Codes,https://www.appliancecodehub.com/bosch/dishwasher/
178,Bosch,US,dishwasher,E26,A main control board fault was detected.,control board,control_board,stop_failure,aggregator_listing,ApplianceCodeHub — Bosch Dishwasher Error Codes,https://www.appliancecodehub.com/bosch/dishwasher/
179,Bosch,US,dishwasher,E27,A sensor or valve fault was detected.,sensor,sensor,degraded,aggregator_listing,ApplianceCodeHub — Bosch Dishwasher Error Codes,https://www.appliancecodehub.com/bosch/dishwasher/
180,Bosch,US,dishwasher,H01,A door latch error was detected.,door latch mechanism,door_lock,degraded,aggregator_listing,ApplianceCodeHub — Bosch Dishwasher Error Codes,https://www.appliancecodehub.com/bosch/dishwasher/
